iter	Passed	Remaining
455	944	1127
456	949	1128
457	952	1127
458	954	1124
459	955	1121
460	957	1119
461	958	1116
462	960	1113
463	961	1110
464	964	1109
465	965	1106
466	966	1103
467	968	1100
468	969	1097
469	970	1094
470	972	1091
471	973	1089
472	975	1086
473	976	1083
474	979	1082
475	980	1079
476	981	1076
477	982	1073
478	984	1070
479	985	1067
480	987	1065
481	988	1062
482	989	1059
483	991	1056
484	994	1055
485	996	1053
486	997	1050
487	998	1048
488	1000	1045
489	1002	1042
490	1003	1040
491	1004	1037
492	1005	1034
493	1008	1033
494	1010	1030
495	1011	1027
496	1013	1025
497	1014	1022
498	1015	1019
499	1017	1017
500	1018	1014
501	1019	1011
502	1021	1009
503	1023	1007
504	1025	1005
505	1027	1002
506	1028	1000
507	1030	997
508	1031	995
509	1033	992
510	1034	990
511	1036	987
512	1039	987
513	1041	984
514	1042	981
515	1044	979
516	1045	977
517	1047	974
518	1048	971
519	1050	969
520	1051	966
521	1055	966
522	1057	964
523	1058	961
524	1060	959
525	1061	956
526	1063	954
527	1064	951
528	1066	949
529	1069	948
530	1071	946
531	1072	943
532	1074	941
533	1075	938
534	1077	936
535	1078	933
536	1080	931
537	1081	928
538	1084	927
539	1085	924
540	1087	922
541	1088	919
542	1089	917
543	1091	914
544	1093	912
545	1094	910
546	1096	907
547	1100	907
548	1102	905
549	1103	903
550	1106	901
551	1108	900
552	1110	897
553	1115	898
554	1117	895
555	1119	894
556	1121	891
557	1122	889
558	1124	886
559	1125	884
560	1127	882
561	1130	881
562	1133	879
563	1134	877
564	1136	874
565	1138	872
566	1139	870
567	1141	868
568	1144	866
569	1145	864
570	1147	862
571	1149	860
572	1151	858
573	1153	855
574	1154	853
575	1157	852
576	1159	850
577	1160	847
578	1162	845
579	1164	843
580	1166	841
581	1167	838
582	1169	836
583	1173	835
584	1175	834
585	1177	831
586	1179	829
587	1180	827
588	1182	825
589	1184	822
590	1186	821
591	1189	819
592	1191	817
593	1192	815
594	1194	813
595	1196	811
596	1198	808
597	1199	806
598	1203	805
599	1205	803
600	1207	801
601	1209	799
602	1210	797
603	1212	794
604	1213	792
605	1215	790
606	1218	789
607	1221	787
608	1223	785
609	1224	782
610	1226	780
611	1227	778
612	1229	776
613	1230	773
614	1235	773
615	1236	770
616	1238	768
617	1240	766
618	1242	764
619	1244	762
620	1245	760
621	1249	759
622	1251	757
623	1253	755
624	1255	753
625	1256	750
626	1258	748
627	1260	746
628	1262	744
629	1264	742
630	1267	741
631	1268	738
632	1269	736
633	1271	733
634	1273	731
635	1274	729
636	1276	727
637	1279	726
638	1281	723
639	1282	721
640	1284	719
641	1287	717
642	1288	715
643	1290	713
644	1292	711
645	1295	709
646	1296	707
647	1298	705
648	1300	703
649	1301	700
650	1302	698
651	1304	696
652	1309	696
653	1313	694
654	1315	692
655	1317	691
656	1319	688
657	1322	687
658	1324	685
659	1326	683
660	1327	680
661	1330	679
662	1332	677
663	1334	675
664	1337	673
665	1339	671
666	1340	669
667	1342	667
668	1343	664
669	1345	662
670	1347	660
671	1348	658
672	1351	656
673	1354	655
674	1355	652
675	1356	650
676	1358	648
677	1360	645
678	1361	643
679	1363	641
680	1368	640
681	1369	638
682	1370	636
683	1373	634
684	1375	632
685	1377	630
686	1378	628
687	1381	626
688	1383	624
689	1386	623
690	1388	620
691	1389	618
692	1391	616
693	1394	614
694	1400	614
695	1401	612
696	1403	609
697	1404	607
698	1406	605
699	1408	603
700	1410	601
701	1414	600
702	1416	598
703	1418	596
704	1420	594
705	1422	592
706	1423	589
707	1427	588
708	1429	586
709	1431	584
710	1432	582
711	1433	579
712	1435	577
713	1436	575
714	1438	573
715	1441	571
716	1445	570
717	1446	568
718	1448	565
719	1449	563
720	1451	561
721	1452	559
722	1454	557
723	1457	555
724	1459	553
725	1460	551
726	1462	549
727	1464	547
728	1465	544
729	1466	542
730	1468	540
731	1472	539
732	1474	536
733	1475	534
734	1477	532
735	1478	530
736	1480	528
737	1481	526
738	1483	523
739	1487	522
740	1489	520
741	1490	518
742	1491	516
743	1493	513
744	1494	511
745	1496	509
746	1497	507
747	1500	505
748	1502	503
749	1503	501
750	1505	499
751	1506	496
752	1508	494
753	1509	492
754	1510	490
755	1512	488
756	1515	486
757	1516	484
758	1518	482
759	1520	480
760	1522	478
761	1523	475
762	1525	473
763	1527	471
764	1529	469
765	1532	468
766	1533	465
767	1535	463
768	1536	461
769	1537	459
770	1539	457
771	1541	455
772	1542	452
773	1545	451
774	1547	449
775	1548	447
776	1550	444
777	1552	443
778	1553	440
779	1555	438
780	1556	436
781	1559	434
782	1560	432
783	1562	430
784	1564	428
785	1565	426
786	1566	424
787	1567	421
788	1569	419
789	1570	417
790	1572	415
791	1575	413
792	1577	411
793	1579	409
794	1580	407
795	1582	405
796	1583	403
797	1584	401
798	1586	399
799	1588	397
800	1590	395
801	1591	393
802	1593	390
803	1594	388
804	1595	386
805	1597	384
806	1598	382
807	1599	380
808	1601	378
809	1604	376
810	1605	374
811	1607	372
812	1608	370
813	1610	367
814	1611	365
815	1613	363
816	1615	361
817	1616	359
818	1619	357
819	1621	355
820	1622	353
821	1624	351
822	1625	349
823	1626	347
824	1627	345
825	1629	343
826	1630	341
827	1633	339
828	1635	337
829	1636	335
830	1638	333
831	1639	331
832	1641	329
833	1642	326
834	1644	324
835	1645	322
836	1648	321
837	1650	319
838	1652	317
839	1653	315
840	1655	313
841	1657	310
842	1658	308
843	1659	306
844	1661	304
845	1664	303
846	1666	301
847	1667	298
848	1669	296
849	1670	294
850	1671	292
851	1673	290
852	1674	288
853	1676	286
854	1679	284
855	1680	282
856	1682	280
857	1684	278
858	1686	276
859	1687	274
860	1689	272
861	1692	270
862	1693	268
863	1695	266
864	1697	264
865	1698	262
866	1700	260
867	1702	258
868	1704	256
869	1708	255
870	1709	253
871	1711	251
872	1712	249
873	1714	247
874	1715	245
875	1717	243
876	1718	241
877	1720	239
878	1722	237
879	1724	235
880	1727	233
881	1729	231
882	1731	229
883	1735	227
884	1736	225
885	1738	223
886	1739	221
887	1740	219
888	1742	217
889	1743	215
890	1744	213
891	1746	211
892	1747	209
893	1750	207
894	1751	205
895	1753	203
896	1754	201
897	1756	199
898	1757	197
899	1758	195
900	1759	193
901	1761	191
902	1762	189
903	1765	187
904	1766	185
905	1767	183
906	1769	181
907	1770	179
908	1771	177
909	1773	175
910	1774	173
911	1775	171
912	1777	169
913	1779	167
914	1781	165
915	1783	163
916	1784	161
917	1786	159
918	1787	157
919	1788	155
920	1790	153
921	1791	151
922	1792	149
923	1795	147
924	1796	145
925	1798	143
926	1799	141
927	1800	139
928	1801	137
929	1803	135
930	1804	133
931	1806	131
932	1809	129
933	1810	127
934	1811	125
935	1813	123
936	1814	121
937	1815	120
938	1816	118
939	1818	116
940	1819	114
941	1820	112
942	1823	110
943	1825	108
944	1826	106
945	1827	104
946	1829	102
947	1830	100
948	1831	98
949	1833	96
950	1834	94
951	1835	92
952	1839	90
953	1840	88
954	1842	86
955	1843	84
956	1844	82
957	1846	80
958	1847	78
959	1848	77
960	1849	75
961	1851	73
962	1855	71
963	1856	69
964	1858	67
965	1859	65
966	1860	63
967	1862	61
968	1863	59
969	1864	57
970	1866	55
971	1868	53
972	1870	51
973	1871	49
974	1872	48
975	1874	46
976	1875	44
977	1876	42
978	1878	40
979	1879	38
980	1880	36
981	1883	34
982	1885	32
983	1886	30
984	1888	28
985	1889	26
986	1891	24
987	1892	22
988	1894	21
989	1895	19
990	1897	17
991	1899	15
992	1901	13
993	1902	11
994	1904	9
995	1905	7
996	1907	5
997	1908	3
998	1910	1
999	1913	0
